date,region,product,stock_units,stockout_events,holding_cost_inr
2026-08-01,North,XPhone Pro,327,0,3261
2026-08-01,North,TabMax,237,0,1780
2026-08-01,North,NovaWatch,271,0,2156
2026-08-01,South,XPhone Pro,235,0,3920
2026-08-01,South,TabMax,62,0,3594
2026-08-01,South,NovaWatch,439,0,1540
2026-08-01,East,XPhone Pro,299,0,4340
2026-08-01,East,TabMax,66,0,4591
2026-08-01,East,NovaWatch,85,0,3741
2026-08-01,West,XPhone Pro,147,0,1690
2026-08-01,West,TabMax,165,0,2191
2026-08-01,West,NovaWatch,151,0,1431
2026-08-02,North,XPhone Pro,321,0,3028
2026-08-02,North,TabMax,62,0,2326
2026-08-02,North,NovaWatch,99,0,2289
2026-08-02,South,XPhone Pro,316,0,3539
2026-08-02,South,TabMax,177,0,4479
2026-08-02,South,NovaWatch,103,0,2722
2026-08-02,East,XPhone Pro,88,0,1494
2026-08-02,East,TabMax,356,0,1024
2026-08-02,East,NovaWatch,303,0,3785
2026-08-02,West,XPhone Pro,489,0,4771
2026-08-02,West,TabMax,368,0,1578
2026-08-02,West,NovaWatch,193,0,4550
2026-08-03,North,XPhone Pro,436,0,2454
2026-08-03,North,TabMax,217,0,4538
2026-08-03,North,NovaWatch,105,0,4138
2026-08-03,South,XPhone Pro,155,0,3666
2026-08-03,South,TabMax,229,0,4457
2026-08-03,South,NovaWatch,100,0,3986
2026-08-03,East,XPhone Pro,421,0,1673
2026-08-03,East,TabMax,379,0,4102
2026-08-03,East,NovaWatch,86,0,1549
2026-08-03,West,XPhone Pro,143,0,1541
2026-08-03,West,TabMax,165,0,3002
2026-08-03,West,NovaWatch,211,0,4230
2026-08-04,North,XPhone Pro,323,0,2143
2026-08-04,North,TabMax,240,0,4154
2026-08-04,North,NovaWatch,214,0,2027
2026-08-04,South,XPhone Pro,439,0,3770
2026-08-04,South,TabMax,418,0,3825
2026-08-04,South,NovaWatch,116,0,1509
2026-08-04,East,XPhone Pro,131,0,3665
2026-08-04,East,TabMax,238,0,4609
2026-08-04,East,NovaWatch,258,0,2207
2026-08-04,West,XPhone Pro,373,0,1904
2026-08-04,West,TabMax,148,0,2603
2026-08-04,West,NovaWatch,273,0,4609
2026-08-05,North,XPhone Pro,330,0,2078
2026-08-05,North,TabMax,330,0,2258
2026-08-05,North,NovaWatch,466,0,1587
2026-08-05,South,XPhone Pro,78,0,2038
2026-08-05,South,TabMax,430,0,2831
2026-08-05,South,NovaWatch,86,0,1156
2026-08-05,East,XPhone Pro,389,0,2622
2026-08-05,East,TabMax,123,0,2060
2026-08-05,East,NovaWatch,154,0,1651
2026-08-05,West,XPhone Pro,337,0,4846
2026-08-05,West,TabMax,426,0,2441
2026-08-05,West,NovaWatch,429,0,2635
2026-08-06,North,XPhone Pro,145,0,3118
2026-08-06,North,TabMax,244,0,1278
2026-08-06,North,NovaWatch,379,0,4687
2026-08-06,South,XPhone Pro,363,0,4091
2026-08-06,South,TabMax,298,0,2538
2026-08-06,South,NovaWatch,229,0,2155
2026-08-06,East,XPhone Pro,168,0,4799
2026-08-06,East,TabMax,367,0,3928
2026-08-06,East,NovaWatch,226,0,1465
2026-08-06,West,XPhone Pro,187,0,4973
2026-08-06,West,TabMax,102,0,3240
2026-08-06,West,NovaWatch,455,0,3742
2026-08-07,North,XPhone Pro,230,0,1450
2026-08-07,North,TabMax,479,0,2543
2026-08-07,North,NovaWatch,488,0,1619
2026-08-07,South,XPhone Pro,134,0,2347
2026-08-07,South,TabMax,106,0,3098
2026-08-07,South,NovaWatch,371,0,3147
2026-08-07,East,XPhone Pro,239,0,3069
2026-08-07,East,TabMax,414,0,3082
2026-08-07,East,NovaWatch,195,0,1303
2026-08-07,West,XPhone Pro,53,0,2257
2026-08-07,West,TabMax,310,0,2375
2026-08-07,West,NovaWatch,265,0,3904
2026-08-08,North,XPhone Pro,436,0,2365
2026-08-08,North,TabMax,176,0,4329
2026-08-08,North,NovaWatch,213,0,3588
2026-08-08,South,XPhone Pro,412,0,2911
2026-08-08,South,TabMax,419,0,3400
2026-08-08,South,NovaWatch,439,0,2896
2026-08-08,East,XPhone Pro,414,0,3690
2026-08-08,East,TabMax,210,0,2975
2026-08-08,East,NovaWatch,320,0,1733
2026-08-08,West,XPhone Pro,362,0,1878
2026-08-08,West,TabMax,90,0,2869
2026-08-08,West,NovaWatch,202,0,1074
2026-08-09,North,XPhone Pro,157,0,2281
2026-08-09,North,TabMax,79,0,4734
2026-08-09,North,NovaWatch,410,0,4221
2026-08-09,South,XPhone Pro,215,0,4956
2026-08-09,South,TabMax,354,0,2524
2026-08-09,South,NovaWatch,479,0,4580
2026-08-09,East,XPhone Pro,214,0,3039
2026-08-09,East,TabMax,394,0,1006
2026-08-09,East,NovaWatch,367,0,4811
2026-08-09,West,XPhone Pro,294,0,4432
2026-08-09,West,TabMax,165,0,2523
2026-08-09,West,NovaWatch,183,0,1151
2026-08-10,North,XPhone Pro,145,0,4901
2026-08-10,North,TabMax,279,0,2287
2026-08-10,North,NovaWatch,155,0,2255
2026-08-10,South,XPhone Pro,353,0,1321
2026-08-10,South,TabMax,181,0,1235
2026-08-10,South,NovaWatch,445,0,4791
2026-08-10,East,XPhone Pro,457,0,4994
2026-08-10,East,TabMax,383,0,3186
2026-08-10,East,NovaWatch,52,0,3284
2026-08-10,West,XPhone Pro,189,0,2363
2026-08-10,West,TabMax,101,0,1806
2026-08-10,West,NovaWatch,166,0,1976
2026-08-11,North,XPhone Pro,386,0,2277
2026-08-11,North,TabMax,366,0,1795
2026-08-11,North,NovaWatch,170,0,2907
