date,region,product,units,price,orders,revenue
2026-07-01,North,XPhone Pro,49,50000,44,2450000
2026-07-01,North,TabMax,41,35000,36,1435000
2026-07-01,South,XPhone Pro,51,50000,46,2550000
2026-07-01,South,TabMax,40,35000,35,1400000
2026-07-01,East,XPhone Pro,48,50000,43,2400000
2026-07-01,East,TabMax,38,35000,33,1330000
2026-07-01,West,XPhone Pro,47,50000,43,2350000
2026-07-01,West,TabMax,41,35000,36,1435000
2026-07-02,North,XPhone Pro,50,50000,45,2500000
2026-07-02,North,TabMax,40,35000,35,1400000
2026-07-02,South,XPhone Pro,47,50000,42,2350000
2026-07-02,South,TabMax,41,35000,36,1435000
2026-07-02,East,XPhone Pro,51,50000,46,2550000
2026-07-02,East,TabMax,38,35000,33,1330000
2026-07-02,West,XPhone Pro,48,50000,43,2400000
2026-07-02,West,TabMax,38,35000,33,1330000
2026-07-03,North,XPhone Pro,49,50000,44,2450000
2026-07-03,North,TabMax,40,35000,35,1400000
2026-07-03,South,XPhone Pro,49,50000,44,2450000
2026-07-03,South,TabMax,39,35000,34,1365000
2026-07-03,East,XPhone Pro,50,50000,45,2500000
2026-07-03,East,TabMax,38,35000,33,1330000
2026-07-03,West,XPhone Pro,48,50000,44,2400000
2026-07-03,West,TabMax,39,35000,34,1365000
2026-07-04,North,XPhone Pro,49,50000,44,2450000
2026-07-04,North,TabMax,41,35000,35,1435000
2026-07-04,South,XPhone Pro,48,50000,43,2400000
2026-07-04,South,TabMax,40,35000,35,1400000
2026-07-04,East,XPhone Pro,50,50000,45,2500000
2026-07-04,East,TabMax,38,35000,33,1330000
2026-07-04,West,XPhone Pro,50,50000,45,2500000
2026-07-04,West,TabMax,38,35000,33,1330000
2026-07-05,North,XPhone Pro,47,50000,43,2350000
2026-07-05,North,TabMax,41,35000,36,1435000
2026-07-05,South,XPhone Pro,52,50000,47,2600000
2026-07-05,South,TabMax,41,35000,36,1435000
2026-07-05,East,XPhone Pro,49,50000,44,2450000
2026-07-05,East,TabMax,38,35000,33,1330000
2026-07-05,West,XPhone Pro,50,50000,45,2500000
2026-07-05,West,TabMax,39,35000,34,1365000
2026-07-06,North,XPhone Pro,48,50000,43,2400000
2026-07-06,North,TabMax,39,35000,34,1365000
2026-07-06,South,XPhone Pro,47,50000,42,2350000
2026-07-06,South,TabMax,41,35000,36,1435000
2026-07-06,East,XPhone Pro,48,50000,43,2400000
2026-07-06,East,TabMax,40,35000,35,1400000
2026-07-06,West,XPhone Pro,49,50000,44,2450000
2026-07-06,West,TabMax,40,35000,35,1400000
2026-07-07,North,XPhone Pro,50,50000,45,2500000
